expert,overall_accuracy,class_1_overprediction_ratio,class_8_underprediction_ratio,class_1_accuracy,class_8_accuracy,total_x_to_1_errors,err_8_to_1,err_9_to_1,err_6_to_1,err_5_to_1,err_3_to_1,err_2_to_1,err_4_to_1
testa_wide_resnet_tiny_raw_seed42_e60,0.7797142863273621,1.0984455958549222,1.051359516616314,0.8678756476683938,0.7643504531722054,89,7,12,11,8,7,9,15
testa_preact_resnet_tiny_anti1_margin_seed42_e60,0.75685715675354,1.150259067357513,0.9848942598187311,0.8652849740932642,0.6948640483383686,110,13,15,13,11,9,9,13
testa_preact_resnet_tiny_v2_raw_seed42_e60,0.7514285445213318,1.2020725388601037,0.9788519637462235,0.8730569948186528,0.6918429003021148,127,15,17,12,16,9,8,19
testa_medium_v2_anti1_margin_seed42_e60,0.7474285960197449,1.2098445595854923,0.8640483383685801,0.8316062176165803,0.6797583081570997,146,18,21,19,17,10,10,17
testa_medium_v2_anti1_margin_seed2026_e60,0.7451428771018982,1.1968911917098446,0.918429003021148,0.8238341968911918,0.6888217522658611,144,21,20,16,15,13,10,15
testa_medium_v2_raw_seed3407_e60,0.7471428513526917,1.2720207253886011,0.8670694864048338,0.8367875647668394,0.6918429003021148,168,22,21,18,20,14,15,22
